"Moment of Inertia Calculation"
"Date and Time:";"31-10-2024 10:02:38"
"Selected Unit:";"mm"

"Cross-section defined by closed polygon:"
"X [mm]";"Y [mm]"
50.0;0.0
47.55;15.45
40.45;29.39
29.39;40.45
15.45;47.55
0.0;50.0
-15.45;47.55
-29.39;40.45
-40.45;29.39
-47.55;15.45
-50.0;0.0
-47.55;-15.45
-40.45;-29.39
-29.39;-40.45
-15.45;-47.55
0.0;-50.0
15.45;-47.55
29.39;-40.45
40.45;-29.39
47.55;-15.45
50.0;0.0
30.0;10.0
29.02;3.82
26.18;-1.76
21.76;-6.18
16.18;-9.02
10.0;-10.0
3.82;-9.02
-1.76;-6.18
-6.18;-1.76
-9.02;3.82
-10.0;10.0
-9.02;16.18
-6.18;21.76
-1.76;26.18
3.82;29.02
10.0;30.0
16.18;29.02
21.76;26.18
26.18;21.76
29.02;16.18
30.0;10.0
50.0;0.0

"Results:"
"Area A";"6.489e+03";"mm^2"
"Centroid X-coordinate X_C";"-1.905e+00";"mm"
"Centroid Y-coordinate Y_C";"-1.905e+00";"mm"
"Moment of inertia I_x";"4.480e+06";"mm^4"
"Moment of inertia I_y";"4.480e+06";"mm^4"
"Deviation moment I_xy";"-147.160e+03";"mm^4"
"Principal axis angle alpha_p";"-45.000e+00";"degrees"
"Principal inertia I_xp";"4.333e+06";"mm^4"
"Principal inertia I_yp";"4.628e+06";"mm^4"
"Radius of gyration i_xp";"25.842e+00";"mm"
"Radius of gyration i_yp";"26.705e+00";"mm"
